task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,DDPG,bootstrap,0.05,1.0,3,0.426,0.015637263187655313
Humanoid-v5,SAC,DDPG,permutation,0.05,1.0,3,0.376,0.015317441039547044
Humanoid-v5,SAC,DDPG,t-test,0.05,1.0,5,0.31,0.014625320509308504
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,1.0,5,0.231,0.013328128150644412
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,5,0.28,0.014198591479439079
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,1.0,5,0.268,0.014006284303840188
Humanoid-v5,SAC,DDPG,bootstrap,0.05,1.0,5,0.474,0.01578999683343857
Humanoid-v5,SAC,DDPG,permutation,0.05,1.0,5,0.369,0.015259062880793171
Humanoid-v5,SAC,DDPG,t-test,0.05,1.0,10,0.538,0.015765658882520576
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,1.0,10,0.455,0.015747221977225064
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,10,0.541,0.015758140753274162
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,1.0,10,0.568,0.01566448211719749
Humanoid-v5,SAC,DDPG,bootstrap,0.05,1.0,10,0.598,0.015504708962118573
Humanoid-v5,SAC,DDPG,permutation,0.05,1.0,10,0.553,0.01572230899073034
Humanoid-v5,SAC,DDPG,t-test,0.05,1.0,20,0.839,0.011622349160131098
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,1.0,20,0.834,0.011766222843376714
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,20,0.851,0.011260506205317771
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,1.0,20,0.834,0.011766222843376714
Humanoid-v5,SAC,DDPG,bootstrap,0.05,1.0,20,0.908,0.009139803061335619
Humanoid-v5,SAC,DDPG,permutation,0.05,1.0,20,0.853,0.011197812286335219
Humanoid-v5,SAC,DDPG,t-test,0.05,1.0,30,0.955,0.00655553201502365
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,1.0,30,0.963,0.005969170796685251
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,30,0.959,0.006270486424512857
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,1.0,30,0.944,0.007270763371201131
Humanoid-v5,SAC,DDPG,bootstrap,0.05,1.0,30,0.96,0.00619677335393187
Humanoid-v5,SAC,DDPG,permutation,0.05,1.0,30,0.966,0.005730968504537434
Humanoid-v5,SAC,DDPG,t-test,0.05,2.0,2,0.354,0.015122301412152848
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,2.0,2,0.165,0.011737759581794134
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,2.0,2,0.0,0.0
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,2.0,2,0.0,0.0
Humanoid-v5,SAC,DDPG,bootstrap,0.05,2.0,2,0.817,0.012227469075814505
Humanoid-v5,SAC,DDPG,permutation,0.05,2.0,2,0.809,0.012430567163247216
Humanoid-v5,SAC,DDPG,t-test,0.05,2.0,3,0.519,0.01579996835439869
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,2.0,3,0.298,0.014463609508003178
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,2.0,3,0.0,0.0
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,2.0,3,0.742,0.013836039895866157
Humanoid-v5,SAC,DDPG,bootstrap,0.05,2.0,3,0.731,0.014022802858202064
Humanoid-v5,SAC,DDPG,permutation,0.05,2.0,3,0.673,0.014834790190629592
Humanoid-v5,SAC,DDPG,t-test,0.05,2.0,5,0.76,0.013505554412907307
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,2.0,5,0.629,0.015276092432294327
